Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ID,PARTS iD Inc. Class A Common Stock,$6.15,0.14,2.329%,204016754.00,United States,2017,32941,Miscellaneous,Diversified Commercial Services
IGC,India Globalization Capital Inc. Common Stock,$1.50,-0.05,-3.226%,72490910.00,United States,,388333,Technology,Engineering & Construction
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$6.763,-0.607,-8.236%,59893493.00,United States,,351880,Consumer Services,Real Estate Investment Trusts
IMH,Impac Mortgage Holdings Inc. Common Stock ,$2.0941,0.0041,0.196%,44672774.00,United States,1997,44457,Finance,Finance: Consumer Services
IMO,Imperial Oil Limited Common Stock,$32.12,0.85,2.718%,23578545371.00,Canada,,312284,Energy,Integrated oil Companies
INDO,Indonesia Energy Corporation Limited Ordinary Shares,$5.35,-0.32,-5.644%,39739559.00,,2019,3718,Energy,Oil & Gas Production
INFU,InfuSystems Holdings Inc. Common Stock,$18.89,-0.03,-0.159%,386655575.00,United States,,22982,Health Care,Medical/Dental Instruments
INTT,inTest Corporation Common Stock,$16.275,0.695,4.461%,174909557.00,United States,1997,125078,Technology,Semiconductors
INUV,Inuvo Inc.,$0.751,-0.0325,-4.148%,89005669.00,United States,,552766,Technology,Advertising
IOR,Income Opportunity Realty Investors Inc. Common Stock,$12.82,0.00,0.00%,53439067.00,United States,,50,Finance,Diversified Financial Services
ISDR,Issuer Direct Corporation Common Stock,$25.40,-0.06,-0.236%,95655765.00,United States,,1799,Technology,EDP Services
ISR,IsoRay Inc. Common Stock (DE),$0.7822,-0.0378,-4.61%,110654131.00,United States,,1006439,Health Care,Medical/Dental Instruments
ITP,IT Tech Packaging Inc. Common Stock,$0.4424,-0.0133,-2.919%,43819676.00,China,,1362394,Basic Industries,Paper
ITRG,Integra Resources Corp. Common Shares,$2.8915,-0.0185,-0.636%,158491853.00,,,25480,,
JOB,GEE Group Inc. Common Stock,$0.5347,0.0152,2.926%,60688693.00,United States,,1630089,Technology,Diversified Commercial Services
KIQ,Kelso Technologies Inc Ordinary Shares,$0.668,-0.0045,-0.669%,36252417.00,Canada,,450549,,
KLR,Kaleyra Inc. Common Stock,$11.55,-0.24,-2.036%,361599731.00,United States,2018,86891,Technology,Internet and Information Services
KULR,KULR Technology Group Inc. Common Stock,$2.19,0.08,3.791%,206401368.00,United States,,926921,,
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$2.77,0.07,2.593%,415448331.00,United States,,342970,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEU,Centrus Energy Corp. Class A Common Stock,$26.3399,-0.7301,-2.697%,364866485.00,United States,2014,42197,Public Utilities,Electric Utilities: Central
LGL,LGL Group Inc. (The) Common Stock,$10.695,-0.185,-1.70%,56386222.00,United States,,3237,Capital Goods,Industrial Machinery/Components
LNG,Cheniere Energy Inc. Common Stock,$85.71,2.46,2.955%,21730684640.00,United States,,408134,Public Utilities,Oil/Gas Transmission
LODE,Comstock Mining Inc. Common Stock,$3.56,0.05,1.425%,151141633.00,United States,,419346,Finance,Real Estate
LOV,Spark Networks Inc. American Depositary Shares (each representing one-tenth of an Ordinary Share),$5.22,-0.39,-6.952%,136016966.00,United States,2017,69273,Miscellaneous,Other Consumer Services
LSF,Laird Superfood Inc. Common Stock,$29.27,-0.30,-1.015%,263163760.00,,2020,51102,Consumer Non-Durables,Specialty Foods
LXFR,Luxfer Holdings PLC Ordinary Shares,$21.23,0.55,2.66%,608232388.00,United Kingdom,2012,18244,Capital Goods,Metal Fabrications
MAG,MAG Silver Corporation Ordinary Shares,$21.60,-0.33,-1.505%,2048542790.00,Canada,,392011,Basic Industries,Precious Metals
MCF,Contango Oil & Gas Company Common Stock (TX),$4.625,0.165,3.70%,929955257.00,United States,,448672,Energy,Oil & Gas Production
MHH,Mastech Digital Inc Common Stock,$14.61,0.25,1.741%,167007670.00,United States,,11786,Consumer Services,Professional Services
MLSS,Milestone Scientific Inc. Common Stock,$1.93,0.00,0.00%,128837526.00,United States,2015,159163,Health Care,Industrial Specialties
MMX,Maverix Metals Inc. Common Shares,$5.39,0.11,2.083%,761158466.00,,,82764,Basic Industries,Precious Metals
MSN,Emerson Radio Corporation Common Stock,$1.25,0.03,2.459%,26303315.00,United States,,82704,Consumer Non-Durables,Consumer Electronics/Appliances
